symbol,value
‰,0
‘,1
‡,2
†,3
Ÿ,4
™,5
‘,6
‚,7
‘,8
€,9
‰,10
—,11
›,12
–,13
–,14
›,15
’,16
•,17
†,18
‚,19
š,20
•,21
‚,22
ˆ,23
’,24
’,25
Ÿ,26
Ž,27
Ž,28
š,29
•,30
‚,31
‰,32
–,33
›,34
ˆ,35
Ÿ,36
ˆ,37
‡,38
ƒ,39
‰,40
‚,41
‘,42
„,43
‹,44
–,45
‘,46
˜,47
Š,48
•,49
˜,50
Œ,51
‚,52
Ž,53
˜,54
—,55
‡,56
…,57
Ž,58
„,59
…,60
›,61
˜,62
…,63
†,64
€,65
—,66
ž,67
…,68
…,69
ž,70
†,71
–,72
•,73
ˆ,74
‰,75
‘,76
‘,77
ž,78
•,79
“,80
‘,81
“,82
“,83
‡,84
‚,85
ƒ,86
‘,87
€,88
ž,89
Š,90
ž,91
‡,92
•,93
€,94
˜,95
†,96
‚,97
†,98
‰,99
†,100
”,101
‰,102
›,103
ž,104
‚,105
–,106
„,107
•,108
„,109
†,110
Š,111
‡,112
‡,113
–,114
™,115
•,116
œ,117
’,118
˜,119
›,120
†,121
‘,122
•,123
—,124
Œ,125
Œ,126
†,127
‹,128
–,129
“,130
€,131
‚,132
‹,133
€,134
ˆ,135
Œ,136
€,137
Ž,138
˜,139
‰,140
–,141
Ÿ,142
›,143
€,144
Š,145
›,146
€,147
–,148
…,149
’,150
ˆ,151
†,152
—,153
Ž,154
–,155
Ž,156
”,157
“,158
˜,159
‰,160
”,161
Ÿ,162
€,163
‰,164
‚,165
’,166
†,167
Ÿ,168
€,169
„,170
ˆ,171
‘,172
˜,173
™,174
‡,175
‰,176
™,177
‰,178
Ÿ,179
™,180
…,181
†,182
Ž,183
ž,184
‹,185
‹,186
”,187
“,188
Š,189
œ,190
™,191
Ž,192
„,193
‘,194
’,195
œ,196
š,197
Ÿ,198
›,199
‡,200
ž,201
€,202
•,203
™,204
Ž,205
€,206
‡,207
“,208
Ž,209
…,210
‹,211
–,212
†,213
ˆ,214
†,215
€,216
Š,217
˜,218
ž,219
’,220
–,221
‰,222
Ÿ,223
Ÿ,224
“,225
˜,226
˜,227
ž,228
™,229
•,230
ƒ,231
‚,232
–,233
š,234
‰,235
ƒ,236
„,237
„,238
‰,239
‚,240
„,241
Ÿ,242
”,243
’,244
”,245
œ,246
ž,247
€,248
‰,249
ƒ,250
€,251
™,252
Œ,253
˜,254
ž,255
…,256
•,257
•,258
‰,259
“,260
˜,261
™,262
ˆ,263
Ž,264
—,265
Š,266
Š,267
‹,268
š,269
„,270
†,271
š,272
—,273
˜,274
™,275
’,276
‰,277
Š,278
ž,279
ž,280
ˆ,281
›,282
Œ,283
€,284
›,285
ž,286
˜,287
Ž,288
Ÿ,289
ƒ,290
Ž,291
—,292
›,293
™,294
‡,295
†,296
‚,297
Ÿ,298
’,299
•,300
›,301
Ÿ,302
’,303
Œ,304
†,305
Š,306
ƒ,307
”,308
„,309
…,310
Ž,311
†,312
’,313
Ž,314
“,315
›,316
ƒ,317
–,318
‘,319
›,320
Œ,321
‹,322
Ÿ,323
ƒ,324
œ,325
‰,326
‰,327
”,328
™,329
Ž,330
‚,331
”,332
ž,333
€,334
’,335
ˆ,336
–,337
†,338
™,339
š,340
Œ,341
‡,342
”,343
œ,344
…,345
›,346
˜,347
€,348
•,349
™,350
Œ,351
‰,352
“,353
œ,354
ˆ,355
‡,356
•,357
…,358
˜,359
‰,360
Œ,361
›,362
€,363
„,364
“,365
…,366
›,367
“,368
Œ,369
‚,370
ˆ,371
œ,372
š,373
‰,374
›,375
”,376
˜,377
—,378
ƒ,379
•,380
ˆ,381
•,382
—,383
‡,384
ˆ,385
„,386
–,387
ˆ,388
˜,389
‰,390
—,391
›,392
œ,393
˜,394
™,395
›,396
˜,397
š,398
ƒ,399
„,400
ƒ,401
”,402
›,403
–,404
–,405
Ÿ,406
š,407
Ž,408
ˆ,409
–,410
›,411
˜,412
‹,413
Œ,414
–,415
„,416
‚,417
†,418
„,419
†,420
Ž,421
Ÿ,422
•,423
–,424
ž,425
’,426
˜,427
–,428
’,429
’,430
‘,431
€,432
˜,433
ž,434
„,435
’,436
›,437
–,438
˜,439
–,440
Ž,441
Š,442
‰,443
–,444
ˆ,445
›,446
˜,447
š,448
ƒ,449
•,450
˜,451
›,452
Ÿ,453
›,454
š,455
‡,456
œ,457
›,458
™,459
•,460
„,461
š,462
‹,463
“,464
š,465
–,466
†,467
„,468
€,469
‰,470
‚,471
‡,472
ž,473
š,474
–,475
ž,476
ˆ,477
”,478
•,479
•,480
œ,481
„,482
€,483
Š,484
™,485
‰,486
‰,487
“,488
„,489
œ,490
‹,491
Ž,492
Š,493
’,494
›,495
–,496
ˆ,497
ˆ,498
Š,499
